,Ticker,Name,Exchange,output
0,A,Agilent Technologies,NYSE,Agilent Technologies (A)
1,AA,Alcoa Inc.,NYSE,Alcoa Inc. (AA)
2,AAN,Aaron's Inc,NYSE,Aaron's Inc (AAN)
3,AAT,American Assets Trust,NYSE,American Assets Trust (AAT)
4,AAV,Advantage Oil & Gas Ltd,NYSE,Advantage Oil & Gas Ltd (AAV)
5,AB,Alliance Capital Management L.P.,NYSE,Alliance Capital Management L.P. (AB)
6,ABB,Abb Ltd,NYSE,Abb Ltd (ABB)
7,ABBV,Abbvie Inc. Common Stock,NYSE,Abbvie Inc. Common Stock (ABBV)
8,ABC,Amerisourcebergen Corporation,NYSE,Amerisourcebergen Corporation (ABC)
9,ABM,Abm Industries Incorporated,NYSE,Abm Industries Incorporated (ABM)
10,ABR,Arbor Realty Trust,NYSE,Arbor Realty Trust (ABR)
11,ABR-PA,Arbor Realty Trust Preferred Se,NYSE,Arbor Realty Trust Preferred Se (ABR-PA)
12,ABR-PB,Arbor Realty Trust Cumulative R,NYSE,Arbor Realty Trust Cumulative R (ABR-PB)
13,ABT,Abbot Laboratories,NYSE,Abbot Laboratories (ABT)
14,ABV,Companhia De Bebidas - Ambev,NYSE,Companhia De Bebidas - Ambev (ABV)
15,ABV.C,Companhia De Bebidas - Ambev,NYSE,Companhia De Bebidas - Ambev (ABV.C)
16,ABW-PB,Associated Banc-Corp Depositary,NYSE,Associated Banc-Corp Depositary (ABW-PB)
17,ABX,Barrick Gold Corp.,NYSE,Barrick Gold Corp. (ABX)
18,ACE,Ace Limited,NYSE,Ace Limited (ACE)
19,ACG,Alliancebernstein Income Fund Inc,NYSE,Alliancebernstein Income Fund Inc (ACG)
20,ACH,Aluminum Corporation of China Ltd.,NYSE,Aluminum Corporation of China Ltd. (ACH)
21,ACI,Arch Coal,NYSE,Arch Coal (ACI)
22,ACM,Aecom Technology Corp.,NYSE,Aecom Technology Corp. (ACM)
23,ACMP,Access Midstream Partners L.P.,NYSE,Access Midstream Partners L.P. (ACMP)
24,ACN,Accenture Plc.,NYSE,Accenture Plc. (ACN)
25,ACO,Amcol International Corp.,NYSE,Amcol International Corp. (ACO)
26,ACP,Avenue Income Credit Strategies,NYSE,Avenue Income Credit Strategies (ACP)
27,ACRE,Ares Commercial Real Estate Cor,NYSE,Ares Commercial Real Estate Cor (ACRE)
28,ACT,Actavis Inc.,NYSE,Actavis Inc. (ACT)
29,ACTV,Active Network Inc,NYSE,Active Network Inc (ACTV)
30,ACW,Accuride Corporation New,NYSE,Accuride Corporation New (ACW)
31,ADC,Agree Realty Corp.,NYSE,Agree Realty Corp. (ADC)
32,ADM,Archer-Daniels-Midland Company,NYSE,Archer-Daniels-Midland Company (ADM)
33,ADS,Alliance Data Systems Corp.,NYSE,Alliance Data Systems Corp. (ADS)
34,ADT,Adt Corporation Common Stock W,NYSE,Adt Corporation Common Stock W (ADT)
35,ADX,Adams Express Company,NYSE,Adams Express Company (ADX)
36,AEB,Aegon Express Company,NYSE,Aegon Express Company (AEB)
37,AEC,Associated Estates Realty Corp.,NYSE,Associated Estates Realty Corp. (AEC)
38,AED,Aegon Nv,NYSE,Aegon Nv (AED)
39,AEE,Ameren Corp.,NYSE,Ameren Corp. (AEE)
40,AEF,Aegon Nv,NYSE,Aegon Nv (AEF)
41,AEG,Aegon Nv,NYSE,Aegon Nv (AEG)
42,AEH,Aegon Nv,NYSE,Aegon Nv (AEH)
43,AEK,Aegon N.V. 8.00%,NYSE,Aegon N.V. 8.00% (AEK)
44,AEL,American Equity Investment Life,NYSE,American Equity Investment Life (AEL)
45,AEM,Agnico-Eagle Mines Limited,NYSE,Agnico-Eagle Mines Limited (AEM)
46,AEO,American Eagle Outfitters,NYSE,American Eagle Outfitters (AEO)
47,AEP,American Electric Power Company,NYSE,American Electric Power Company (AEP)
48,AER,Aercap Holdings N.V.,NYSE,Aercap Holdings N.V. (AER)
49,AES,The Aes Corp.,NYSE,The Aes Corp. (AES)
50,AES-PC,AES Corporation Class C P,NYSE,AES Corporation Class C P (AES-PC)
51,AET,Aetna Inc.,NYSE,Aetna Inc. (AET)
52,AEV,Aegon Nv,NYSE,Aegon Nv (AEV)
53,AF,Astoria Financial Corp.,NYSE,Astoria Financial Corp. (AF)
54,AFA,American Financial Group Inc.,NYSE,American Financial Group Inc. (AFA)
55,AFB,Alliance National Municipal,NYSE,Alliance National Municipal (AFB)
56,AFC,Allied Capital Corp.,NYSE,Allied Capital Corp. (AFC)
57,AFG,American Financial Group  ,NYSE,American Financial Group   (AFG)
58,AFL,Aflac Incorporated,NYSE,Aflac Incorporated (AFL)
59,AFM,Affiliated Managers Group Inc,NYSE,Affiliated Managers Group Inc (AFM)
60,AFQ,American Financial Group,NYSE,American Financial Group (AFQ)
61,AFSD,Aflac Incorporated,NYSE,Aflac Incorporated (AFSD)
62,AFT,Apollo Senior Floating Rate Fund Inc.,NYSE,Apollo Senior Floating Rate Fund Inc. (AFT)
63,AFW,American Financial Group Inc.,NYSE,American Financial Group Inc. (AFW)
64,AG,First Majestic Silver,NYSE,First Majestic Silver (AG)
65,AGC,Advent Claymore Convertible Securities,NYSE,Advent Claymore Convertible Securities (AGC)
66,AGCO,Agco Corp.,NYSE,Agco Corp. (AGCO)
67,AGD,Alpine Global Dynamic Dividend Fund,NYSE,Alpine Global Dynamic Dividend Fund (AGD)
68,AGI,Alamos Gold Inc.,NYSE,Alamos Gold Inc. (AGI)
69,AGM,Federal Agricultural Mortgage Corp.,NYSE,Federal Agricultural Mortgage Corp. (AGM)
70,AGM-A,Federal Agricultural Mortgage  ,NYSE,Federal Agricultural Mortgage   (AGM-A)
